question,GT_sql,predicted_sql,execution_match
Find projects whose subject area is “Mathematics and Statistics”,SELECT t1.title FROM projects AS T1 join project_subject_areas as psa on T1.unics_id = psa.project join subject_areas as sa on psa.subject_area = sa.code WHERE sa.title = 'Mathematics and Statistics',SELECT t1.title FROM projects AS T1 join project_subject_areas as psa on T1.unics_id = psa.project join subject_areas as sa on psa.subject_area = sa.code WHERE sa.title = 'Mathematics and Statistics',True
Show the acronym and subject area description of projects with subject area “Mathematics and Statistics”,"SELECT t1.acronym, sa.description FROM projects AS T1 join project_subject_areas as psa on T1.unics_id = psa.project join subject_areas as sa on psa.subject_area = sa.code WHERE sa.title = 'Mathematics and Statistics'","SELECT t1.acronym, sa.description FROM projects AS T1 join project_subject_areas as psa on T1.unics_id = psa.project join subject_areas as sa on psa.subject_area = sa.code WHERE sa.title = 'Mathematics and Statistics'",True
Find all different topics of projects that ended in 2014,SELECT distinct t.title FROM projects AS T1 join project_topics as pt on T1.unics_id = pt.project join topics as t on pt.topic = t.code where t1.end_year = 2014,SELECT distinct p.title FROM projects AS p join project_topics as pt on p.unics_id = pt.project where t1.end_year = 2014,False
Find distinct titles of topics of projects that with end year 2014,SELECT distinct t.title FROM projects AS T1 join project_topics as pt on T1.unics_id = pt.project join topics as t on pt.topic = t.code where t1.end_year = 2014,SELECT distinct t.title FROM projects AS T1 join project_topics as pt on T1.unics_id = pt.project join topics as t on pt.topic = t.code where t1.end_year = 2014,True
Show the acronym of projects with a member from Greece,Select p.acronym from projects as p join project_members as pm on p.unics_id = pm.project join institutions as i on pm.institution_id = i.unics_id join countries as c on i.country_id = c.unics_id where c.country_name = 'Greece',SELECT p.acronym FROM projects AS p JOIN project_members AS pm ON p.unics_id = pm.project WHERE pm.institution_id IN (SELECT unics_id FROM institutions WHERE country_name = 'Greece'),False
Show names of institutions from France or Germany,Select i.institutions_name from institutions as i join countries as c on i.country_id = c.unics_id where c.country_name = 'France' or c.country_name = 'Germany',"SELECT i.institutions_name FROM institutions AS i JOIN countries AS c ON i.country_id = c.unics_id WHERE c.country_name IN ('France', 'Germany')",True
Show names of institutions which are not from France,Select i.institutions_name from institutions as i join countries as c on i.country_id = c.unics_id where c.country_name != 'France',SELECT i.institutions_name FROM institutions AS i JOIN countries AS c ON i.country_id <> c.unics_id WHERE c.country_name = 'France',True
Count the projects that started in 2016,Select count(p.unics_id) from projects as p where start_year = 2016,SELECT count(p.unics_id) FROM projects AS p WHERE start_year = 2016,True
Show the title of the project with the highest total cost,Select p.title from projects as p where total_cost = (select max(p2.total_cost) from projects as p2),SELECT t1.title FROM projects AS T1 WHERE T1.total_cost = (SELECT MAX(T2.total_cost) FROM projects AS T2),True
Show the name of members in projects costing less than the average project cost.,SELECT T1.member_name FROM project_members AS T1 JOIN projects AS T2 ON T1.project = T2.unics_id WHERE T2.total_cost < (SELECT AVG(T23.total_cost) FROM projects AS T23),SELECT T1.member_name FROM project_members AS T1 WHERE T1.project_members.ec_contribution < (SELECT AVG(T2.total_cost) FROM projects AS T2),False
Find the id of projects with at least 100 members,select p.unics_id from projects as p join project_members as pm on p.unics_id = pm.project group by p.unics_id having count(p.unics_id) >= 100,SELECT p.unics_id FROM projects AS p JOIN project_members AS pm ON p.unics_id = pm.project GROUP BY p.unics_id HAVING COUNT(p.unics_id) >= 100,True
Find the code and title of the funding scheme which funded the highest number of projects.,"select s.code, s.title from funding_schemes as s where s.code = (select s2.code from funding_schemes as s2 join projects as p on s2.code = p.ec_fund_scheme group by s2.code order by count(*) desc LIMIT 1)","SELECT s.code, s.title FROM funding_schemes as s JOIN projects as p ON s.code = p.ec_fund_scheme GROUP BY s.code ORDER BY COUNT(p.unics_id) DESC LIMIT 1",True
Show the total costs of all projects,SELECT sum(total_cost) FROM projects,SELECT sum(total_cost) FROM projects,True
Show me the title of projects which have an end year and a start year after 2006,select title from projects where start_year > 2006 and end_year > 2006,SELECT title FROM projects WHERE start_year > 2006 AND end_year > 2006,True
Find the projects which lasted the longest and have an end year and a start year,"select title, end_year - start_year from projects order by end_year - start_year desc limit 1","SELECT title, end_year - start_year AS duration FROM projects ORDER BY duration DESC LIMIT 1",True
Show me topic titles which starts with 'Raw materials',select title from topics where title like 'Raw materials%',SELECT title FROM topics WHERE title LIKE 'Raw materials%',True
Show me topic titles which contain the word 'climate',select title from topics where title like '%climate%',SELECT title FROM topics WHERE title LIKE '%climate%',True
Show me the number of projects where Thomas Bell was principal investigator,select count(*) from projects as p join people as peep on p.principal_investigator = peep.unics_id where peep.full_name = 'Thomas Bell',SELECT count(p.unics_id) FROM projects AS p JOIN people AS peep ON p.principal_investigator = peep.unics_id WHERE peep.full_name = 'Thomas Bell',True
Show me the all different names of people,select distinct full_name from people,SELECT distinct full_name from people,True
Find the acronym of projects which have total costs between 100000 and 200000,select p.acronym from projects as p where p.total_cost between 100000 and 200000,SELECT acronym FROM projects WHERE total_cost BETWEEN 100000 AND 200000,True
Show the title of projects with costs higher than 1000000,select p.title from projects as p where p.total_cost > 1000000,SELECT title FROM projects WHERE total_cost > 1000000,True
Show the title of projects with costs higher than a million,select p.title from projects as p where p.total_cost > 1000000,SELECT title FROM projects WHERE total_cost > 1000000,True
Show the project title and member name where the member has a partner role ,"select title, member_name from projects as p join project_members as pm on p.unics_id = pm.project join project_member_roles as pmr on pm.member_role = pmr.code where pmr.code = 'partner'","SELECT projects.title, project_members.member_name FROM projects JOIN project_members ON projects.unics_id = project_members.project WHERE project_members.member_role = 'partner'",True
What different research domains do exist?,select distinct description from erc_research_domains,SELECT DISTINCT erc_research_domains.code FROM erc_research_domains,False
Show me the country name of all institutes.,select c.country_name from countries as c join institutions as i on c.unics_id = i.country_id,SELECT countries.country_name FROM institutions JOIN countries ON institutions.country_id = countries.unics_id,True
Show me the country of all institutes.,select c.country_name from countries as c join institutions as i on c.unics_id = i.country_id,SELECT institutions.country_name FROM institutions,False
What is the country code 2 and country code 3 for Andorra?,"select country_code2, country_code3 from countries where country_name = 'Andorra'","SELECT countries.country_code2, countries.country_code3 FROM countries WHERE countries.country_name = 'Andorra'",True
Find the code of the funding scheme for Framework Partnership Agreement,select code from funding_schemes where title = 'Framework Partnership Agreement',SELECT funding_schemes.code FROM funding_schemes WHERE title = 'Framework Partnership Agreement',True
Show me the full title of the program which is called 'Transport' in short.,select title from programmes where short_name = 'Transport',SELECT projects.title FROM projects WHERE projects.short_name = 'Transport',False
Find member name and role code of project members in project with acronym GTBB,"select pm.member_name, pr.code from project_members as pm join projects as p on pm.project = p.unics_id join project_member_roles as pr on pm.member_role = pr.code where p.acronym = 'GTBB'","SELECT member_name, code FROM project_members WHERE project = (SELECT unics_id FROM projects WHERE acronym = 'GTBB')",False
Find member name and role code of project members in project GTBB,"select pm.member_name, pr.code from project_members as pm join projects as p on pm.project = p.unics_id join project_member_roles as pr on pm.member_role = pr.code where p.acronym = 'GTBB'","SELECT T1.member_name, T1.code FROM project_members AS T1 WHERE T1.project = 35268",False
Show titles of programmes which have FP7 as parent program,select title from programmes where parent = 'FP7',SELECT title FROM programmes WHERE parent = 'FP7',True
Show titles of programmes which have program with code FP7 as parent program,select title from programmes where parent = 'FP7',SELECT projects.title FROM projects WHERE programmes.parent = 'FP7',False
Get panel descriptions from research domain Life Sciences,select p.description from erc_panels as p join erc_research_domains as erd on p.part_of = erd.code where erd.description = 'Life Sciences',SELECT erc_panels.description FROM erc_panels JOIN erc_research_domains ON erc_panels.part_of = erc_research_domains.code WHERE erc_research_domains.title = 'Life Sciences',False
Get panel descriptions from research domain life sciences,select p.description from erc_panels as p join erc_research_domains as erd on p.part_of = erd.code where erd.description = 'Life Sciences',SELECT erc_panels.description FROM erc_panels JOIN erc_research_domains ON erc_panels.part_of = erc_research_domains.code WHERE erc_research_domains.title = 'Life Sciences',False
Find project members of type Research Organisations,select member_name from project_members as mb join activity_types as a on a.code = mb.activity_type where a.description = 'Research Organisations',"SELECT p.unics_id, p.member_name",False
Get names of project members who's activity type description is Research Organisations,select member_name from project_members as mb join activity_types as a on a.code = mb.activity_type where a.description = 'Research Organisations',SELECT member_name FROM project_members WHERE project_member_roles.description = 'Research Organisations',False
What is the objective of DEEPCARBON?,select objective from projects where acronym = 'DEEPCARBON',SELECT projects.objective FROM projects WHERE projects.acronym = 'DEEPCARBON',True
What is the objective of the project with acronym DEEPCARBON?,select objective from projects where acronym = 'DEEPCARBON',SELECT projects.objective FROM projects WHERE projects.acronym = 'DEEPCARBON',True
Get the title of projects having the term 'carbon capturing' in it's objective.,select title from projects where objective like '%carbon capturing%',SELECT title FROM projects WHERE objective LIKE '%carbon capturing%',True
How many projects have an objective which contains 'carbon capturing'?,select count(*) from projects where objective like '%carbon capturing%',SELECT count(*) FROM projects WHERE objective LIKE '%carbon capturing%',True
Show all names of institutions from France except institutions from the territorial region of Paris,select i.institutions_name from institutions as i join countries as c on c.unics_id = i.country_id where country_name = 'France' except select i.institutions_name from institutions as i join countries as c on c.unics_id = i.country_id join eu_territorial_units as etu on i.geocode_regions_3 = etu.geocode_regions where country_name = 'France' and etu.description = 'Paris',SELECT institutions.institutions_name FROM institutions AS i JOIN countries as c ON i.country_id = c.unics_id WHERE c.country_name = 'France' AND eu_territorial_units.description != 'Paris',False
Show institutions from France except the ones from Paris,select i.institutions_name from institutions as i join countries as c on c.unics_id = i.country_id where country_name = 'France' except select i.institutions_name from institutions as i join countries as c on c.unics_id = i.country_id join eu_territorial_units as etu on i.geocode_regions_3 = etu.geocode_regions where country_name = 'France' and etu.description = 'Paris',SELECT i.institutions_name FROM institutions AS i JOIN countries AS c ON i.country_id = c.unics_id WHERE c.country_name = 'France' AND geocode_regions_3 != 'Paris',False
Which institutions have never been project coordinators,SELECT distinct member_name from project_members WHERE member_name NOT in (SELECT member_name from project_members where member_role = 'coordinator'),SELECT DISTINCT i.institutions_name FROM institutions AS i JOIN projects AS p ON i.unics_id = p.principal_investigator WHERE p.principal_investigator IS NULL,True
Show all of the instituions that have never coordinated a project,SELECT distinct member_name from project_members WHERE member_name NOT in (SELECT member_name from project_members where member_role = 'coordinator'),SELECT institutions.institutions_name FROM institutions AS T1 WHERE NOT EXISTS (SELECT 1 FROM projects AS T2 WHERE T1.unics_id = T2.principal_investigator),False
Show all of the names of people who have worked on multiple projects,"SELECT t1.full_name, count(p.title) FROM people as t1 join projects as p on t1.unics_id = p.principal_investigator group by t1.full_name HAVING count(p.title) > 1",SELECT DISTINCT peep.full_name FROM people AS peep JOIN project_members AS pm ON peep.unics_id = pm.member_name GROUP BY peep.unics_id HAVING COUNT(DISTINCT p.unics_id) > 1,False
Which people have worked on more than one project,"SELECT t1.full_name, count(p.title) FROM people as t1 join projects as p on t1.unics_id = p.principal_investigator group by t1.full_name HAVING count(p.title) > 1",SELECT DISTINCT p.unics_id FROM projects AS p JOIN project_members AS pm ON p.unics_id = pm.project GROUP BY p.unics_id HAVING COUNT(*) > 1,False
What is the title of the subject area that has been granted the most funding,"SELECT t1.title, MAX(t3.ec_max_contribution) from subject_areas as t1 join project_subject_areas as t2 on t1.code = t2.subject_area join projects as t3 on t2.project = t3.unics_id  group by t1.title order by  MAX(t3.ec_max_contribution) DESC LIMIT 1",SELECT s.title FROM funding_schemes AS s JOIN projects AS p ON s.code = p.ec_fund_scheme GROUP BY s.code ORDER BY COUNT(p.unics_id) DESC LIMIT 1,False
Which subject area has recieved the highest funding contribution?,"SELECT t1.title, MAX(t3.ec_max_contribution) from subject_areas as t1 join project_subject_areas as t2 on t1.code = t2.subject_area join projects as t3 on t2.project = t3.unics_id  group by t1.title order by  MAX(t3.ec_max_contribution) DESC LIMIT 1",SELECT sa.title FROM projects AS p JOIN project_subject_areas as psa ON p.unics_id = psa.project JOIN subject_areas as sa ON psa.subject_area = sa.code ORDER BY p.total_cost DESC LIMIT 1,False
Which subject area has recieved the least funding contribution,"SELECT t1.title, MIN(t3.ec_max_contribution) from subject_areas as t1 join project_subject_areas as t2 on t1.code = t2.subject_area join projects as t3 on t2.project = t3.unics_id  group by t1.title order by  MIN(t3.ec_max_contribution) DESC LIMIT 1","SELECT code FROM subject_areas JOIN (SELECT project, MIN(ec_contribution) as min_ec_contribution FROM project_members GROUP BY project) AS t ON subject_areas.code = (SELECT subject_area FROM project_subject_areas WHERE project = t.project)",False
What is the title of the subject area that has been granted the least amount of funding,"SELECT t1.title, MIN(t3.ec_max_contribution) from subject_areas as t1 join project_subject_areas as t2 on t1.code = t2.subject_area join projects as t3 on t2.project = t3.unics_id  group by t1.title order by  MIN(t3.ec_max_contribution) DESC LIMIT 1",SELECT sa.title FROM subject_areas AS sa JOIN project_subject_areas AS psa ON sa.code = psa.subject_area GROUP BY sa.title ORDER BY SUM(psa.project) ASC LIMIT 1,False
Which institution has participated in the most projects,"Select i.institutions_name, Count(distinct project) From project_members join institutions as i on project_members.institution_id = i.unics_id GROUP BY i.institutions_name order by count(distinct project) desc limit 1","SELECT institutions_name, count(p.unics_id) as project_count FROM projects AS p JOIN project_members AS pm ON p.unics_id = pm.project GROUP BY institutions_name ORDER BY project_count DESC LIMIT 1",False
Show the institution that has been involved in the highest number of projects,"Select i.institutions_name, Count(distinct project) From project_members join institutions as i on project_members.institution_id = i.unics_id GROUP BY i.institutions_name order by count(distinct project) desc limit 1",SELECT institutions.institutions_name,False
Which institution has participated in the fewest projects,"Select t2.institutions_name, Count(distinct project) From project_members as t1 join institutions as t2 on t1.institution_id = t2.unics_id GROUP BY t2.institutions_name order by count(distinct project) asc limit 1",SELECT MIN(DISTINCT i.institutions_name) FROM institutions AS i JOIN projects AS p ON i.unics_id = p.institution_id GROUP BY i.institutions_name,False
Show the institution that has been involved in the least amount of projects,"Select t2.institutions_name, Count(distinct project) From project_members as t1 join institutions as t2 on t1.institution_id = t2.unics_id GROUP BY t2.institutions_name order by count(distinct project) asc limit 1","SELECT institutions_name FROM institutions AS T1 JOIN (SELECT project, COUNT(*) as count FROM project_members GROUP BY project ORDER BY count DESC LIMIT 1 OFFSET 0) AS T2 ON T1.unics_id = T2.project WHERE T2.count = (SELECT COUNT(DISTINCT project) FROM project_members)",False
Which funding scheme provided the most funding,"SELECT t1.title, sum(ec_max_contribution) from funding_schemes as t1 join projects as t2 on t1.code = t2.ec_fund_scheme group by t1.title ORDER BY sum(ec_max_contribution) DESC LIMIT 1",SELECT funding_schemes.title FROM funding_schemes ORDER BY SUM(projects.total_cost) DESC LIMIT 1,False
Which funding scheme provided the least funding,"SELECT t1.title, sum(ec_max_contribution) from funding_schemes as t1 join projects as t2 on t1.code = t2.ec_fund_scheme group by t1.title ORDER BY sum(ec_max_contribution) ASC LIMIT 1","SELECT funding_schemes.code, MIN(projects.total_cost) as min_funding",False
Show the industrial partners that have worked on projects and the amount of funding they have recieved in order from most to least,"SELECT t1.member_name, p.ec_max_contribution FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code join projects as p on t1.project = p.unics_id WHERE t2.code = 'PRC' ORDER BY ec_max_contribution DESC","SELECT i.institutions_name, SUM(p.ec_contribution) as total_funding",False
Show the amount of funding and corresponding list of industrial partners that have worked on projects in order from the most funding to the least funding,"SELECT t1.member_name, p.ec_max_contribution FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code join projects as p on t1.project = p.unics_id WHERE t2.code = 'PRC' ORDER BY ec_max_contribution DESC","SELECT p.total_cost, i.institutions_name",False
Show the title and the start year of the most recent projects,"SELECT p.title, p.start_year from projects as p order by start_year DESC","SELECT title, start_year FROM projects ORDER BY start_date DESC LIMIT 1",False
Which projects have started most recently?,"SELECT p.title, p.start_year from projects as p order by start_year DESC","SELECT projects.unics_id, projects.title",False
Show title and the starting year of the least recent projects,"SELECT p.title, p.start_year from projects as p order by start_year ASC","SELECT title, start_year FROM projects ORDER BY start_year DESC LIMIT 1",False
Which projects have started the least recently?,"SELECT p.title, p.start_year from projects as p order by start_year ASC","SELECT projects.unics_id, projects.start_date FROM projects ORDER BY projects.start_date ASC LIMIT 1",False
What is the starting date of the first recorded project,SELECT p.start_date from projects as p order by start_date ASC,SELECT start_date FROM projects ORDER BY start_date ASC LIMIT 1,False
On which date did the first project start?,SELECT p.start_date from projects as p order by start_date ASC,`SELECT MIN(start_date) FROM projects;`,False
Show the titles of all of the projects in the subject area of Climate change and Carbon cycle research,SELECT t3.title from subject_areas as t1 join project_subject_areas as t2 on t1.code = t2.subject_area join projects as t3 on t2.project = t3.unics_id WHERE t1.title = 'Climate change and Carbon cycle research',SELECT T1.title FROM projects AS T1 join project_subject_areas as psa on T1.unics_id = psa.project join subject_areas as sa on psa.subject_area = sa.code WHERE sa.title = 'Climate change and Carbon cycle research',True
Show the titles of all of the projects that share the subject area code 'CCC,SELECT t3.title from subject_areas as t1 join project_subject_areas as t2 on t1.code = t2.subject_area join projects as t3 on t2.project = t3.unics_id WHERE t1.title = 'Climate change and Carbon cycle research',SELECT title FROM projects AS T1 JOIN project_subject_areas as psa on T1.unics_id = psa.project WHERE psa.subject_area = 'CCC',True
List all of the possible roles that project members can have in projects,SELECT pmr.description from project_member_roles as pmr,SELECT DISTINCT project_member_roles.code FROM project_members,False
What are all of the ways that projects members can participate in projects?,SELECT pmr.description from project_member_roles as pmr,SELECT DISTINCT project_member_roles.code FROM project_members JOIN project_member_roles ON project_members.member_role = project_member_roles.code,False
How many erc panels are dedicated to Life Sciences,SELECT count(t1.description) from erc_panels as t1 join erc_research_domains as t2 on t2.code = t1.part_of WHERE t2.description = 'Life Sciences',SELECT COUNT(*) FROM erc_panels WHERE description LIKE 'Life Sciences',False
Count the number of erc panels that are part of Life Sciences,SELECT count(t1.description) from erc_panels as t1 join erc_research_domains as t2 on t2.code = t1.part_of WHERE t2.code = 'LS',SELECT COUNT(*) FROM erc_panels WHERE description LIKE 'Life Sciences%',False
List all of the european research council panels related to social sciences and humanities,SELECT t1.description from erc_panels as t1 join erc_research_domains as t2 on t2.code = t1.part_of WHERE t2.code = 'SH',SELECT e.description FROM erc_panels AS e WHERE e.part_of = 'Social sciences and humanities',False
How many european research council panels are related to social sciences and humanities,SELECT count(t1.description) from erc_panels as t1 join erc_research_domains as t2 on t2.code = t1.part_of WHERE t2.code = 'SH',SELECT COUNT(*) FROM erc_panels WHERE description LIKE '%social sciences and humanities%',False
Show all of the project members that are private for profit entities,SELECT member_name FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code WHERE t2.code = 'PRC',SELECT p.member_name,False
Which project members are businesses?,SELECT member_name FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code WHERE t2.code = 'PRC',SELECT member_name FROM project_members WHERE member_role = 'business',False
How many project members are businesses?,SELECT count(member_name) FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code WHERE t2.code = 'PRC',SELECT COUNT(*) FROM project_members WHERE member_type = 'business',False
How many project members are Higher or Secondary Education Establishments?,SELECT count (distinct member_name) FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code WHERE t2.code = 'HES',SELECT COUNT(*) FROM project_members AS pm JOIN institutions AS i ON pm.institution_id = i.unics_id WHERE i.short_name LIKE '%Education Establishment%',False
Count the number of project members that are Educational Establishments,SELECT count (distinct member_name) FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code WHERE t2.description = 'Higher or Secondary Education Establishments',SELECT COUNT(*) FROM project_members WHERE member_short_name LIKE '%Educational%' AND member_role = 'Educational Establishment',False
How many projects have been related to Robotics?,SELECT count(t3.title) from subject_areas as t1 join project_subject_areas as t2 on t1.code = t2.subject_area join projects as t3 on t2.project = t3.unics_id WHERE t1.title = 'Robotics',SELECT count(*) FROM projects WHERE title LIKE '%Robotics%',False
What is the number of projects that have been carried out in the subject area of Robotics?,SELECT count(t3.title) from subject_areas as t1 join project_subject_areas as t2 on t1.code = t2.subject_area join projects as t3 on t2.project = t3.unics_id WHERE t1.title = 'Robotics',SELECT COUNT(*) FROM projects AS P JOIN project_subject_areas AS PS ON P.unics_id = PS.project JOIN subject_areas AS S ON PS.subject_area = S.code WHERE S.title = 'Robotics',True
Which non-EU entity has recieved the most funding through a project?,"SELECT t1.member_name, p.ec_max_contribution FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code join projects as p on t1.project = p.unics_id WHERE t1.geocode_regions_3 = 'NONEU' ORDER BY ec_max_contribution DESC LIMIT 1","SELECT i.institutions_name, c.country_name",False
Which entity located outside of the EU has received the most funding?,"SELECT t1.member_name, p.ec_max_contribution FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code join projects as p on t1.project = p.unics_id WHERE t1.geocode_regions_3 = 'NONEU' ORDER BY ec_max_contribution DESC LIMIT 1","SELECT i.institutions_name, c.country_name",False
Which non-EU entity has recieved the least funding through a project?,"SELECT t1.member_name, p.ec_max_contribution FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code join projects as p on t1.project = p.unics_id WHERE t1.geocode_regions_3 = 'NONEU' ORDER BY ec_max_contribution ASC LIMIT 1","SELECT i.institutions_name, c.country_name FROM institutions AS i JOIN countries AS c ON i.country_id = c.unics_id WHERE i.country_id NOT IN (SELECT country_id FROM eu_territorial_units)",True
Which entity located outside of the EU has received the least funding?,"SELECT t1.member_name, p.ec_max_contribution FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code join projects as p on t1.project = p.unics_id WHERE t1.geocode_regions_3 = 'NONEU' ORDER BY ec_max_contribution ASC LIMIT 1","SELECT i.institutions_name, c.country_name FROM institutions AS i JOIN countries AS c ON i.country_id = c.unics_id WHERE c.country_code3 NOT IN ('EU', 'EEA')",False
How many non-EU entities have participated in projects?,SELECT count(distinct t1.member_name) FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code join projects as p on t1.project = p.unics_id  WHERE t1.geocode_regions_3 = 'NONEU',SELECT COUNT(DISTINCT i.country_code3) FROM institutions AS i JOIN projects AS p ON i.unics_id = p.institution_id WHERE i.country_code3 != 'EU',False
Which entities that are located outside of the European Union have participated in projects?,SELECT distinct t1.member_name FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code join projects as p on t1.project = p.unics_id WHERE t1.geocode_regions_3 = 'NONEU',"SELECT DISTINCT i.institutions_name FROM institutions AS i JOIN countries AS c ON i.country_id = c.unics_id WHERE c.country_code3 NOT IN ('EU', 'EEA')",False
Show all of the programmes with titles that are related to climate,SELECT p.title from programmes as p WHERE p.title like '%climate%',SELECT title FROM programmes WHERE title LIKE '%climate%',True
List the programms that have the term climate in the title,SELECT p.title from programmes as p WHERE p.title like '%climate%',SELECT p.title FROM projects AS p JOIN programmes as pro ON p.programme = pro.rcn WHERE pro.title LIKE '%climate%',False
Show the title and amount of funds that have been allocated per programme,"SELECT t1.title, sum(t3.ec_max_contribution) from programmes as t1 join project_programmes as t2 on t1.code = t2.programme join projects as t3 on t3.unics_id = t2.project group by t1.title","SELECT programmes.title, SUM(projects.total_cost) FROM projects JOIN programme_programmes ON projects.unics_id = programme_programmes.project GROUP BY programmes.title",False
List all of the titles and the amount of funding that has been dispersed per programme,"SELECT t1.title, sum(t3.ec_max_contribution) from programmes as t1 join project_programmes as t2 on t1.code = t2.programme join projects as t3 on t3.unics_id = t2.project group by t1.title","SELECT projects.title, SUM(projects.total_cost) AS total_funding",False
